text,bias
"with just days until his inauguration, it would not be a shock to learn that donald trump is walking around mar-a-lago singing starships no. 1 hit song from 1987 (the same year he published the art of the deal): œnothings gonna stop us now. confirmation hearings for cabinet-level posts are moving right along, with republican senators getting in line. the transition from the biden administration to trumps has been relatively smooth. politically, trump has never been more popular. its a period of such good feelings that even (some) democrats are playing nice with trump. œeverybodys optimistic. everything seems possible. no limits appear, says executive branch veteran john bolton. œit lasts right up until noon on the 20th, when reality strikes. up to now, the focus of most commentary and reporting has been how the second trump administration will reshape the country and the world: the national economy, the countrys global standing, both the operation of government and everyday life in the nations capital, the trajectory of american politics, congress, big business, and even popular culture.  but as it has in past administrations, the world itself has the ability to stop a presidency dead in its tracks. so how should an incoming trump official think about the incredible, and most likely incredibly frustrating, challenges to come? on monday the work of the second trump administration will begin in earnest, starting with the more than 100 executive orders promised by his transition. there will still be plenty of confirmations to go through, not just for cabinet secretaries and prominent agency heads, but many of the lower-level but still senate-confirmed positions trump will need to fill. the process for accomplishing his legislative agenda remains a mystery to his allies in congress. nor do the republican partys margins in both houses of congress leave much room for error. and the looming midterm elections of 2026 will start the clock on how much real time this already-lame duck president has to get it all done before a potential shift in power in washington. on top of all that are what donald rumsfeld called the known and unknown unknowns that can throw a presidency off its plan: natural disasters, terrorist attacks, international incidents, economic calamities. trump had direct experience with this in the form of the covid outbreak in 2020. a development in ukraine or a provocation from china could complicate whatever domestic plans the trump administration has. so, too, could injunctions and lawsuits in response to his executive actions.  so while trump is now an old hand at being president, the real work of governing falls to the thousands of appointees, advisers, and staff of the executive branch. that, says bolton, is where the real actionand real obstacleswill appear. œwhen it comes to the running of departments and agencies, day by day, a lot depends on the deputy secretary, the undersecretaries, the assistant secretaries, and those we still dont know a bunch about. so in that sense, the transition continues, except it continues under the gun, [when] youre making policy, making decisions that every day that have real world consequences, bolton says. and he would know. the 76-year-old attorney has served in every republican administration since ronald reagans, including multiple positions in both the justice and state departments. from perches that run the gamut from mid-level agency administrator to trumps national security adviser from 2018 to 2019, bolton has seen administrations struggle with the responsibilities of governance from multiple vantage points. its hard to live up to the promises of a campaign, no matter how unified your party is or how poorly your predecessor performed. and beyond the base level of difficulty in running a massive government bureaucracy, implementing policy, and spending political capital effectively, carrying out the business of a trump administration is uniquely demanding. it requires officials and staff to be prepared for the whiplash of contradictory directives or sudden decisionmaking from a capricious chief executive, who, as bolton recently wrote for the new york times, expects loyalty to himself above all. boltons advice to those coming in to work for the administration? be prepared for all of that. œpeople who have been in the government before have seen how presidents have operated who are disciplined, bolton says. œgeorge h.w. bush being perhaps the most disciplined, but reagan had a certain discipline. george w. bush had a certain discipline. trump doesnt have a discipline, and that is hard just in the regular course of trying to decide policy. like many who worked for trump during his first presidential tenure, bolton has been vocal about how tumultuous the work can be. but for those who will be navigating what he calls the œcontinuing turmoil of advising trump, bolton has some straightforward recommendations. œif youre a senior official, white house staff, cabinet officer, whatever it might be, your job is to present to the president the information that he should have to make a decision. present the options, get a decision, and then carry it out, he says. œand you cant be held responsible if he doesnt care about the information youre providing or doesnt want to look at options, thats still what you should do, because thats what serves the country. sometimes the best policy could be keeping your head down, particularly if your corner of the government doesnt often grab trumps eye. œin many departments and agencies, you know, if, once they get over there and begin to do the things they think that almost any republican administration would do if trump doesnt pay any attention to them, that could well be a blessing, because they could get a lot more done that way, bolton says. and knowing when to call it quits, too, is just as important. œwhen the time comes that your principles are being violated or you just dont think hes paying any attention to you, thats the time to get out, bolton says. œand you shouldnt regret that, because you know this job is temporary going in, and as long as you know it could end tomorrow, you sleep a lot better at night and you perform better on the job.",4
"welcome back to techne! in star trek, writers got around the problem of language translation by inventing the universal translator. researchers at tech giant meta seem to be inching toward this tech. a recent paper in nature describes how they created a machine-learning system that almost instantaneously translates speech in 101 languages into words spoken by a voice synthesizer in any of 36 target languages. los angeles continues to burn.  as of this writing, the palisades fire is spread over 23,713 acres and is 22 percent contained. this means that 22 percent of the fires perimeter has been controlled by firefighters through containment lines. the eaton fire currently stands at 14,117 acres burned at 55 percent containment. will rogers state park is gone. the homes of celebrities paris hilton, mandy moore, billy crystal, and many others are gone. more than 12,000 homes, businesses, and schools have burned, and 25 people have died. accuweather has estimated the cost to rebuild at between $250 billion and $275 billion, and it is sure to rise. online commenters were quick to blame the byzantine regulatory systems in california for the magnitude of the disaster. while this is often a good heuristic, since californias bad policies affect so many aspects of life there, the conflagration seems to have been a natural disaster, not a pure policy disaster.  what many may not know about the fires that occur near los angeles is that its located in the middle of a chaparral shrubland, a type of ecosystem that grows up around rocky mediterranean-type regions. unlike the forests or the prairie, fires in the chaparral are infrequent and intensely hot. while the native americans in california deliberately set fires to shrubland, they were not trying to maintain the chaparral but to transform it into grasslands for hunting. southern california could transform itself into grassland, which would have some advantages in fire management, but it would come with the destruction of the chaparral.   while understanding the ecosystem is crucial for long-term planning, the immediate focus is on recovery and rebuilding. gov. gavin newsoms first major action was to suspend the california environmental quality act (ceqa) and the california coastal acts permitting system. as he explained on x, these suspensions œwill allow victims of the socal fires to not get caught up in bureaucratic red tape and quickly rebuild their homes.  i am glad these suspensions are becoming the norm during natural disasters. not only do they  fast-track rebuilding, but they also hint at the uncomfortable truth of government: our normal rules actively prevent us from solving urgent problems. but if these rules can be safely suspended during our most challenging momentswhen careful oversight should matter mostthen its time to reevaluate their necessity during calmer times as well. los angeles is dominated by chaparral, a type of scrub that occurs in mediterranean climates where there is dense, rocky soil. and chaparral is dominated by pyrophytes, the name botanists give to plants that need fireand smoke, as it has been recently foundto germinate seeds.  massive, swift, but infrequent conflagrations are common wherever chaparral occurs, which includes parts of california, oregon, baja california, chile, south africa, and australia. chaparral grows in a way that creates an unbroken layer of fuel from the ground all the way up through the vegetation, making intense fires unavoidable. these are called crown fires because they burn through the tops of the plants. this differs from most forest fires, which primarily burn near the ground because of the separation between the forest floor and the tree canopy.  the western part of los angeles is uniquely vulnerable to disaster. as the urban theorist mike davis wrote in œthe case for letting malibu burn, this is due to œthe uncanny alignment of its coastal canyons with the annual ˜fire winds from the north: the notorious santa anas. the shape of the œsan fernando valley acts as a giant bellows, sometimes fanning the santa anas to hurricane velocity as they roar seaward through the narrow canyons and rugged defiles of the santa monica mountains. add a spark to the dense, dry vegetation on such an occasion and the hillsides will explode in uncontrollable wildfire. infrequent, uncontrollable wildfire is now understood as a key part of the life cycle of chaparral. as richard w. halsey of the california chaparral institute, and alexandra d. syphard of the  conservation biology institute explained in œhigh-severity fire in chaparral: cognitive dissonance in the shrublands, although counterintuitive, chaparral plant communities are much more resilient to infrequent, high-intensity fires than they are to more frequent, lower-intensity fires (keeley et al., 2008). if chaparral does not have sufficient time to replenish the soil seed bank, accumulate the biomass necessary to produce fires hot enough to successfully germinate fire-cued seeds, or allow resprouting species time to restore starch supplies in underground lignotubers, a cascading series of events begins that can significantly change or eliminate the plant community. if the fire return interval is less than 1020 years, biodiversity is reduced and nonnative weeds and grasses typically invade, ultimately type-converting native shrubland to nonnative grassland (brooks et al., 2004). so while it is true that native americans in southern california were actively setting fires long before europeans arrived, its likely that they were doing it to eliminate shrubland and help grasses grow so that grassland animals could be hunted on that land. that is to say, native californians werent maintaining a healthy chaparral. fuel build-up is invariably blamed for the occurrence of large chaparral wildfires. one commenter on the marginal revolution blog, for example, relayed what he was seeing on local news broadcasts a week ago,  a man who had lost his house made the point that it was his neighbor just below him that created the conditions for both houses and others to burn: the neighbor allowed brush around the neighbors house to grow thick and high, creating a fire bomb once the embers hit the brush. the brush didnt need a controlled burn, it needed a weed whacker or other device to keep it cut. but researchers are now balking at that idea. contrary to popular belief, fire suppression like preventing or fighting fires hasnt disrupted the natural fire patterns in these areas. in fact, fire suppression has actually been helpful because its protected the chaparral from burning too frequently, which would be harmful to the ecosystem, which prefers a cycle of 30 years or more. without fire suppression efforts, human-caused fires would have resulted in the vegetation burning far more often than it did historically. because fire suppression has helped maintain a more natural fire pattern in the long term, the chaparral was set up to go up in a blaze when the conditions were right. abnormally strong rains in 2023 drove plant growth, which then became a tinderbox this year with a lack of rain. unusually strong winds gave it the air to quickly expand. mondays the morning dispatch did an excellent job of explaining how all of this came together. while conventional wisdom suggests we need more frequent, controlled burns to prevent disasters, the science of chaparral tells a different story. these ecosystems dont just tolerate massive conflagrations, they require them for their very survival. the devastation we witnessed wasnt an aberration or a result of poor fire management. it was the chaparral operating exactly as nature intended, on a timeline measured not in years, but in decades. understanding this reality is essential for anyone choosing to live in these beautiful but periodically explosive landscapes. all of this makes controlled burns ill-suited for southern californias chaparral. but that isnt to say that controlled burns arent needed elsewhere in other ecosystems in california. and controlled burns are stymied by delays. like any other government action, controlled burns are subjected to the national environmental policy act (nepa) and ceqa, californias version of the law.  environmental groups arent fans of controlled burns or thinning efforts and have taken both the state and federal governments to court over them. activists delayed a 9,000-acre forest thinning project in california for 10 years, citing potential threats to spotted owl habitat. however, the unthinned forest ultimately burned in a wildfire, destroying the very owl habitat they had sought to protect. the sacramento bee reported that one womans lawsuit over another california forest-thinning project forced the government to process 19,193 pages of paperwork. and to top it off, in 2007, the sierra club successfully sued the forest service to prevent it from exempting small, controlled burns. in california, it takes months to get approval for a controlled burn, while in florida it takes mere minutes.  still, as kevin drum wrote in œwhy dont we do more prescribed burning? an explainer. regulations are part of the problem, but they arent the only thing stopping controlled burns: the biggest impediments are public opposition, rising insurance costs, resource constraints, and the risk-averse views of forest managers, many of whom are still wary of prescribed burns. this is partly for technical reasons and partly out of fear. only one out of a thousand prescribed burns gets out of control, but thats enough. if officials conduct a prescribed burn that gets out of control, they face serious consequences and liability. however, when devastating wildfires destroy communities and landscapes due to long-term neglect of forest management, no one is held accountable for these preventable disasters. the cumulative result is that fewer acres are burned than what experts would want. insurers will face pressure as people inevitably rebuild, and something will break. californias insurance system requires a public hearing and an affirmative approval by elected insurance commissioners to increase rates. but proposition 103, which passed in 1988 to reform californias insurance regulations, is unique in that it allows nonprofit organizations to collect fees when they challenge proposed insurance rate hikes. californias system is generally viewed as unmatched in terms of the extent to which consumers and advocacy groups can formally intervene in insurance rate filings. as a result, insurance companies have stopped issuing new policies that cover fire. this, in turn, has put pressure on the states insurer of last resort, fair. but even fair is buckling under all the payouts. for years, the pacific palisades has been cited as one of the largest areas of exposure for fair at nearly $6 billion. as it last reported, however, fair had about $700 million in cash and even though it caps payments at $3 million, it likely will need a bailout. still, i think it is telling that newsoms immediate policy response was an executive order that suspended ceqa review and california coastal act permitting for properties being reconstructed. his executive order didnt just streamline reconstruction. it laid bare a paradox at the heart of the states regulatory framework. by suspending both ceqa review and coastal act permitting for rebuilding, while directing agencies to identify other regulations that could be safely relaxed, newsom tacitly acknowledged what many have long suspected. if these rules can be safely suspended during our most challenging moments when careful oversight should matter most, perhaps its time to reevaluate their necessity during calmer times as well. my former colleague tahra jirari made a similar point recently, writing that, œrather than temporarily waiving them just for rebuilding, we should seize this moment to create a permanently more functional system. as a los angeleno, shes been in the middle of this disaster, and as an economist, shes been thinking about how to rebuild better. as she told me, even with the suspension of ceqa and california coastal commission rules, œcurrent policies are quite restrictive and will make it difficult to rebuild. all of this has made us more vulnerable than we should be because we need to build densely away from fire-prone zones.  many l.a. residents love being near nature and the chaparral, but they dont understand the risk. every so often, the region will burn in a hot blaze. this isnt a failure of policy or prevention. its the fundamental nature of this ecosystem. living in the chaparral means accepting its cycles: long periods of beautiful, rugged wilderness punctuated by devastating fires that cant be tamed. the question isnt how to prevent these fires entirely, but how to build and live with the knowledge that they will inevitably return. until next week, ðÿš will",4
"as fire still rages in the los angeles area, ive been torn about whether to write about it. beyond the very real tragedies and my general rule against public dunking, a lot of whats going on out there has nothing to do with policy. as our friends at the morning dispatch explained, for example, national experts and folks on the ground seem to agree that the unfortunate and freakish confluence of several meteorological phenomenaespecially the hurricane-force winds and recent lack of rainmade much of the damage in and around l.a. unavoidable regardless of the policies in place or the people in charge. and much of the knee-jerk, partisan hysteria surrounding the fires has proven to be premature, half-baked, or just plain wrongnot to mention distasteful. on the other hand, there do appear to be several policies that, while they didnt cause the fires, probably made things in l.a. today worse than theyd otherwise beperhaps by a significant margin. they fit squarely within the stuff we talk about all the time here at capitolism and provide lessons about not only the l.a. fires but also how (ostensibly) good policy intentions can generate really bad outcomes, thanks in large part to some equally bad incentives for all the people involved. the place to start is californias onerous regulation of homeowners insurance, which has probably encouraged many angelenos to live in more fire-prone areas and has kept many of them underinsured or without insurance entirely. as economist brian albrecht detailed last week, citing a deep dive paper from his colleagues at the international center for law and economics (icle), californias proposition 103 forces private insurers to price their products not just below hypothetical market rates but well below their costcreating œthe biggest gap between rates and risk in the nation. albrecht adds that the system is also highly inflexible and insanely slow: californias speed of rate approvals ranked second-to-last among the 50 states (and d.c.) over the last five years, with an average of 236 days for homeowners insurance. and its been getting worse:",4
"whether it was will rogers or tony soprano, the old suggestion to œbuy land, gods not making any more of it is good real estate advice, but its hardly an iron law. first of all, god does make more land from time to time. and so do humans. this raises a second famous piece of advice, also of unclear authorship. when it comes to real estate only three things matter: location, location, and location. and that brings us to greenland. donald trump wants to acquire it. nay, he says we need to acquire it. the last time he was president, he floated the idea and was roundly mocked for it. but not by me, and i am hardly averse to mocking trump when the moment calls for it. for myriad reasons, it would be in our interest for the united states to annex, lease, absorb, or otherwise acquire the giant island. the most important of these reasons is, of course, location. thats why ive long thought acquiring greenlandpeacefully!was a good idea. (indeed, last year, i despaired of the œgreenland effectthe phenomenon whereby trumps embrace of a good idea makes it less popular.). but my opinion doesnt count for much. james stavridis, the former supreme allied commander of nato, and hardly a maga toady, agrees. he writes that the mexico-sized island œis a vital element of the greenland-iceland-uk ˜gap that guards the northern approaches to the atlantic ocean from russian naval forces. its also believed greenland has huge deposits of crucial rare-earth minerals, essential to all manner of high-tech industries, industries china is trying to control or dominate, in part by establishing a near monopoly on such resources. long before anyone appreciated the importance of this stuff, the truman administration recognized the value of greenland and tried to persuade the danes who administer the quasi-independent nationto part with it. the danes politely said no. but the issue was mostly resolved a few years later when denmark became a founding member of the nato alliance. they agreed to work with us on using it to bolster western defenses. trump claims thats not good enough. in a recent press conference, trump refused to rule out the use of force to take greenland (and the panama canal). œfor purposes of national security and freedom throughout the world, the united states of america feels that the ownership and control of greenland is an absolute necessity, trump insists. the best defensereally the only defenseof trumps rhetoric is that its a negotiating tactic: start with an outlandish ask, and then find a compromise that would have been impossible without it. again, the problem with this classic example of turd-polishing trumps rhetoricœtake him seriously, not literally as they sayis that denmark and greenland are already generously cooperating with the u.s. on national security issues. we literally have a vital military installation in greenland already. so, what could that compromise be? some special leasing deal for mining? okay, maybe. but, surely, theres a better way to pursue that with a longtime ally than threatening military force? acquiring greenland is a serious idea, but pursuing it in an unserious way is worse than not pursuing it at all. if trump went full putin and invaded greenlandor even seriously threatened to by deploying ships to intimidate denmarkit would likely spell the end of nato. the supposed rationale for controlling greenland is to deter russia and protect the œfreedom of the world. but putin would see the implosion of nato as a small price for the transformation of greenland into an arctic puerto rico. (by the way, trump floated the idea of trading puerto rico for greenland.)  even more annoying: trump and his sycophants have spent the better part of the last decade insisting that the gop was kidnapped by œneocon warmongers and imperialists hell-bent on œprovoking œforeign wars for abstract goals like œfreedom. say what you will about the calumnies and blood libel against œneocons, none of them floated the idea of provoking a foreign war with democratic allies. but when trump threatens exactly that, well, thats just so cool apparently. the people who insist that trumpian nationalism is a very serious idea invariably find themselves having to bend their very serious arguments to the fact that trump doesnt care about arguments and ideas. hes just a real estate guy who likes putting his name on stuff.",4
"happy friday! if anyone was wondering, belgiums food agency has officially warned against eating your christmas tree. but dont change your dinner plans just yetsweden says its fine.  well let our brave readers tell us which country is right.  less than two weeks until president-elect donald trumps inauguration, journalists and commentators got their first fully fledged goose chase of the new administration during a press conference at mar-a-lago on tuesday. ",4
"more than 1,500 americans are celebrating the end of a prosecutorial nightmare now that president donald trump has pardoned or commuted the sentences of those charged with offenses related to the protest at the capitol on january 6, 2021. on monday evening, just a few hours after taking the oath of office for the second time in eight years, trump issued a ""full, complete and unconditional"" blanket pardon for most jan. 6 defendants, whom trump called political ""hostages."" those who will benefit from such a pardon number more than 1,500, according to estimates. 'this proclamation ... begins a process of national reconciliation.' additionally, trump commuted the sentences of 14 other jan. 6 convicts, meaning they still retain their convictions but are sentenced to time served. those individuals are stewart rhodes, kelly meggs, kenneth harrelson, thomas caldwell, jessica watkins, roberto minuta, edward vallejo, david moerschel, joseph hackett, ethan nordean, joseph biggs, zachary rehl, dominic pezzola, and jeremy bertino.   ""this proclamation ends a grave national injustice that has been perpetrated upon the american people over the last four years and begins a process of national reconciliation,"" read a proclamation from the white house. the proclamation also orders the attorney general to ensure the immediate release of any jan. 6 inmates currently in custody and ""to pursue dismissal with prejudice to the government of all pending indictments against individuals for their conduct related to the events at or near the united states capitol on january 6, 2021.""   among those with pending indictments is blaze news investigative reporter steve baker. baker described himself as ""emotional"" about the potential end to the ruthless prosecution against him. ""they intended to destroy my life,"" baker said. ""they weren't capable of doing that. they did not do that."" despite the harrowing ordeal he has endured and many sleepless nights, baker still considers himself one of the lucky ones. ""so many others lost everything,"" baker explained. these people lost their homes, their freedom, and their livelihoods for merely walking ""through an open door in the capitol on january 6,"" he said. though trump's proclamation will bring many j6ers' legal troubles to a swift end, questions still linger about some of the victims of what baker described as ""the weaponization of the biden doj."" for instance, at least some of those who received commuted sentences have already served those same sentences, so the commutation does them little good. trump has already stated that he is open to revisiting these cases and, if warranted, upgrading some to full pardons. another issue relates to those with pending indictments. as trump has ordered his attorney general, who has not yet taken office, to ""pursue dismissal,"" it's unclear what would happen if judges refused to cooperate. like blaze news? bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. sign up here!",5
"newly inaugurated president donald trump made good on his promise to issue a number of executive orders on the first day of his second term in office. the president signed the orders in front of a large audience at the capital one arena in washington, d.c., after he was sworn in. 'with these actions, we will begin the complete restoration of america and the revolution of common sense.' at one moment, someone in the audience yelled at the president, asking for a pen, and he took the moment to start tossing the pens out to his supporters, who exploded with applause. trump signed nine executive orders, including those that would pull the u.s. out of the paris climate agreement, freeze most federal employee hiring except for the military, and require that federal workers return to full-time, in-person work. other orders called for the cessation of censorship in favor of free speech, called for the end of œweaponization of government against the political adversaries of the previous administration,"" and directed government departments to address inflation.   former vice president and climate advocate al gore responded to trump's order to pull out of the paris climate agreement. ""these performative acts show the pervasive influence that the fossil fuel industry will have in the united states over the next four years. but make no mistake, the global sustainability revolution is unstoppable,"" he wrote in a long statement on social media.   ""if the new administration wont lead on this issue, it is up to all of us,"" he added. ""now is the time for governors, mayors, business leaders, investors, and activists to put their heads down and do the work that will advance the climate solutions our nation and the world so urgently need."" trump also halted 78 executive actions issued by biden as well as prevented bureaucrats from issuing new regulations. officials said that the president would sign more executive orders once he left the arena and arrived at the white house. trump has said that he will end birthright citizenship as well as free some of the prisoners held on charges related to the rioting at the u.s. capitol on jan. 6, 2021. other orders may reinstitute the ""remain in mexico"" policy on immigrant asylum-seekers and also end diversity, equity, and inclusion policies. ""with these actions, we will begin the complete restoration of america and the revolution of common sense,"" trump said during his inauguration address. ""its all about common sense."" like blaze news? bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. sign up here!",5
"former congresswoman liz cheney (r-wyo.) responded to insults lobbed at her by president donald trump in a speech on inauguration day. trump was addressing supporters in the capitol's emancipation hall when he talked about a pardon issued to cheney by former president joe biden just before he stepped down from his office. 'neither lies nor the liar who tells them get better with age.' œwhy are we helping some of these people? why are we helping liz cheney? shes a disaster  shes a crying lunatic, he said. ""one day, when you don't want to kill people in wars, they turn against you,"" trump added. ""liz cheney hated the concept of not going to war with everybody. 'let's kill everybody. let's spend a lot of money on military equipment.' you know, where her father works, right?"" he also accused members of the congressional committee investigating the jan. 6 riots of destroying critical evidence.   ""they deleted everything,"" trump said. ""there's virtually nothing left, so that's a criminal offense. if that were a civil case, it would be a criminal offense if that happened civilly."" cheney fired off a response criticizing trump and responding to the accusations. ""trumps remarks in the capitol visitor center today were a reminder that neither lies nor the liar who tells them get better with age,"" she wrote on social media.   ""the select committee evidence is available on multiple websites and, as a criminal defendant, donald trump has had access to all the transcripts for years,"" she added. ""remember trumps character: he sat in his dining room watching on television as his supporters attacked our capitol and brutally assaulted law enforcement. for hours, he refused to instruct the mob to leave. the truth will never change."" like blaze news? bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. sign up here!",5
"former president joe biden issued some very controversial pardons just before exiting the oval office, and many are finding democrats' reactions to be hypocritical. biden issued pre-emptive pardons for members of his family as well as political figures who have earned the ire of president donald trump, but many democrats criticized just such pardons not too long ago. in 2020, a report surfaced that trump might issue pardons for rudy giuliani as well as trump's adult children. 'if you haven't done anything wrong, you sit there and go, ""what do you need a pre-emptive pardon for?'""' left-wing commentators issued their disfavor at the time, and a viral video captured their sentiments to show the hypocritical double standard. msnbc host joy reid implied that a pre-emptive pardon would only be given to someone who had committed a crime. ""have you ever heard of somebody getting a pre-emptive pardon who is innocent of all crime, who is just an innocent person, have you ever heard of that?"" asked reid of democratic then-rep. adam schiff of california.   ""no, it's the president's own family! it's people that have been covering up for the president in addition to his own family,"" said schiff at the time.   another exchange showed msnbc's brian williams interviewing andrew weissmann, the former lead prosecutor for special counsel robert mueller. ""is there an innocent explanation for someone to seek pre-emptive pardons for family members? would you do that if you knew you were innocent and just worried about outside forces?"" asked williams. ""the answer to that is gonna be no,"" responded weissmann. ""if you haven't done anything wrong, you sit there and go, 'what do you need a pre-emptive pardon for?'"" chris hayes of msnbc excoriated the ""magic pardon wand"" when it was reported that trump might wield it. ""the idea of a kind of prospective pardon, this sort of permanent federal 'get out of jail free' card, that seems to be what we're talking about in the case of, this, giuliani and [trump's] three eldest children, who, as far as we know, have not been convicted of a crime,"" said hayes. ""maybe they've committed a lot!"" he laughed. ""and they don't want to face action! i don't know. it's weird; i wouldn't ask for a pardon. i don't think i deserve one, because i don't think i've done anything criminal. but like, where does that come from, that concept that you can just kind of wave your magic pardon wand?"" other figures, including commentator elie mystal, expressed outrage on the viral video with more than 1.2 million views. like blaze news? bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. sign up here!",5
"a detroit pastor delivered a rousing benediction at the close of president donald trump's inauguration on monday. the pastor invoked the powerful words of the rev. martin luther king jr.'s ""i have a dream"" speech. detroit pastor lorenzo sewell gave a moving speech at trump's inauguration, often invoking the iconic words of martin luther king jr. on mlk day. 'we are grateful that you are the one that have called him for such a time as this, that america would begin to dream again.' ""we know that dr. martin luther king, he said, 'let freedom ring.' we want to not only say it, we wanted to pray it,"" sewell said, according to the detroit news. ""and now we need to act. these next four years are going to be a time of liberation."" ""people that are in political shackles, spiritual shackles, emotional shackles, mental shackles • regardless of what shackle you're in, we're believing there will be freedom, and our country will unify in a way it's never unified before,"" sewell told the crowd.   ""we pray that you use our president that we will live in a nation where we'll not be judged by the color or our skin but by the content of our character,"" stated sewell, invoking the words from king's speech at the lincoln memorial in 1963. ""we are grateful today that you would use our 47th president so we would sing with new meaning, 'our country 'tis of thee.'""   according to the detroit free press, sewell gave thanks to god for the ""millimeter miracle"" that saved trump from the first assassination attempt on his life at a july rally in butler, pennsylvania. ""we are grateful that you are the one that have called him for such a time as this, that america would begin to dream again,"" said sewell  pastor of 180 church in west detroit. after his moving speech, trump reportedly told sewell, ""you're special. you're so good."" sewell told the detroit news, ""and he's told me that before, but obviously that is a very special moment because he's stepping into office. it's his time now."" sewell, 43, noted that it was ""very humbling"" that ""god would allow us to be part of history."" sewell previously hosted a roundtable in detroit for trump in june and spoke at the republican national convention last summer in milwaukee. other religious leaders who spoke at trump's inauguration were rabbi dr. ari berman, the president of yeshiva university in new york, and the rev. father frank mann of the roman catholic diocese of brooklyn. you can watch rev. pastor lorenzo's riveting speech at president trump's inauguration here. like blaze news? bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. sign up here!",5
